event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
163,8,Croatia,home,0.0,PK,sin información,sin información
164,8,Brazil,away,0.0,PK,sin información,sin información
165,8,Croatia,home,0.0,PK,sin información,sin información
166,8,Brazil,away,0.0,PK,sin información,sin información
167,8,Croatia,home,0.0,PK,sin información,sin información
168,8,Brazil,away,0.0,PK,sin información,sin información
169,8,Croatia,home,0.0,PK,sin información,sin información
170,8,Brazil,away,0.0,PK,sin información,sin información
171,9,Portugal,home,17.0,Goal, Gonçalo Ramos , João Félix 
172,9,Portugal,home,33.0,Goal, Pepe , Bruno Fernandes 
173,9,Switzerland,away,43.0,Yellow card, Fabian Schär ,sin información
174,9,Switzerland,away,45.0,Substitution, Eray Cömert , Fabian Schär 
175,9,Portugal,home,51.0,Goal, Gonçalo Ramos ,sin información
176,9,Switzerland,away,54.0,Substitution, Denis Zakaria , Remo Freuler 
177,9,Switzerland,away,54.0,Substitution, Haris Seferovic , Djibril Sow 
178,9,Portugal,home,55.0,Goal, Raphaël Guerreiro , Gonçalo Ramos 
179,9,Switzerland,away,58.0,Goal, Manuel Akanji ,sin información
180,9,Switzerland,away,59.0,Yellow card, Eray Cömert ,sin información
181,9,Switzerland,away,66.0,Substitution, Noah Okafor , Ruben Vargas 
182,9,Portugal,home,67.0,Goal, Gonçalo Ramos , João Félix 
183,9,Portugal,home,73.0,Substitution, Cristiano Ronaldo , João Félix 
184,9,Portugal,home,74.0,Substitution, Ricardo Horta , Gonçalo Ramos 
